# ----------------------------------------,,,,,,,,
# All Web Site Data,,,,,,,,
# Client_Info,,,,,,,,
# 20200101-20210320,,,,,,,,
# ----------------------------------------,,,,,,,,
,,,,,,,,
City,Date,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Transactions
West Valley City,20200714,1,1,1,0.00%,2,00:00:04,0
West Valley City,20200716,1,1,1,0.00%,3,00:00:16,0
West Valley City,20200718,1,1,1,0.00%,10,00:01:07,0
West Valley City,20200722,1,1,1,0.00%,4,00:01:21,0
West Valley City,20200723,1,0,1,100.00%,1,00:00:00,0
West Valley City,20200724,1,1,1,0.00%,5,00:02:46,0
West Valley City,20200726,1,1,1,100.00%,1,00:00:00,0
West Valley City,20200801,1,1,1,0.00%,2,00:00:12,0
West Valley City,20200802,1,1,1,100.00%,1,00:00:00,0
West Valley City,20200804,1,1,1,0.00%,6,00:01:53,0
West Valley City,20200805,1,1,1,0.00%,3,00:00:16,0
West Valley City,20200808,1,1,1,0.00%,3,00:01:14,0
West Valley City,20200809,1,0,2,100.00%,1,00:00:00,0
West Valley City,20200811,1,1,2,0.00%,2,00:00:07,0
West Valley City,20200813,1,1,1,0.00%,8,00:09:06,0
West Valley City,20200814,1,1,1,100.00%,1,00:00:00,0
West Valley City,20200815,1,1,1,0.00%,2,00:02:16,0
West Valley City,20200817,1,1,1,0.00%,2,00:00:05,0
West Valley City,20200820,1,1,2,0.00%,3.5,00:00:26,0
West Valley City,20200821,1,1,2,0.00%,6.5,00:03:34,1
West Valley City,20200823,1,1,1,100.00%,1,00:00:00,0
West Valley City,20200824,1,1,1,0.00%,5,00:02:16,0
West Valley City,20200828,1,1,1,0.00%,8,00:04:24,0
West Valley City,20200829,1,1,1,0.00%,2,00:00:04,0
West Valley City,20200902,1,1,1,0.00%,2,00:03:39,0
West Valley City,20200906,1,1,1,100.00%,1,00:00:00,0
West Valley City,20200911,1,1,1,100.00%,1,00:00:00,0
West Valley City,20200913,1,1,2,0.00%,2,00:00:05,0
West Valley City,20200914,1,1,1,100.00%,1,00:00:00,0
West Valley City,20200915,1,1,1,0.00%,3,00:00:25,0
West Valley City,20200920,1,1,1,0.00%,5,00:15:01,0
West Valley City,20200921,1,0,1,100.00%,1,00:00:00,0
West Valley City,20200927,1,0,1,100.00%,1,00:00:00,0
West Valley City,20200929,1,1,1,100.00%,1,00:00:00,0
West Valley City,20201003,1,1,1,100.00%,1,00:00:00,0
West Valley City,20201004,1,1,1,0.00%,6,00:01:41,0
West Valley City,20201009,1,1,1,0.00%,5,00:00:49,0
West Valley City,20201015,1,1,1,0.00%,4,00:09:32,0
West Valley City,20201016,1,1,1,0.00%,2,00:00:22,0
West Valley City,20201022,1,1,1,0.00%,2,00:00:08,0
West Valley City,20201024,1,1,1,0.00%,5,00:00:34,0
West Valley City,20201030,1,1,1,0.00%,4,00:01:57,0
West Valley City,20201111,1,1,2,50.00%,2,00:00:08,0
West Valley City,20201119,1,1,1,0.00%,16,00:22:05,0
West Valley City,20201123,1,1,1,100.00%,1,00:00:00,0
West Valley City,20201206,1,1,2,50.00%,2,00:00:34,0
West Valley City,20201208,1,1,1,0.00%,3,00:00:30,0
West Valley City,20201210,1,0,1,100.00%,1,00:00:00,0
West Valley City,20201215,1,0,1,0.00%,7,00:02:05,0
West Valley City,20201216,1,1,1,0.00%,4,00:02:40,0
West Valley City,20201220,1,1,2,0.00%,17.5,00:08:06,2
West Valley City,20201228,1,0,1,100.00%,1,00:00:00,0
West Valley City,20210102,1,1,1,0.00%,3,00:00:27,0
West Valley City,20210103,1,1,1,100.00%,1,00:00:00,0
West Valley City,20210115,1,0,1,100.00%,1,00:00:00,0
West Valley City,20210124,1,1,1,0.00%,2,00:00:17,0
West Valley City,20210126,1,1,1,0.00%,2,00:00:06,0
West Valley City,20210201,1,1,1,0.00%,3,00:00:19,0
West Valley City,20210202,1,1,1,0.00%,3,00:00:16,0
West Valley City,20210208,1,1,1,0.00%,2,00:00:14,0
West Valley City,20210212,1,1,1,100.00%,1,00:00:00,0
West Valley City,20210223,1,1,1,100.00%,1,00:00:00,0
West Valley City,20210310,1,1,1,0.00%,2,00:00:15,0
West Valley City,20210316,1,1,1,0.00%,2,00:00:05,0
West Valley City,20210318,1,1,1,100.00%,1,00:00:00,0
Williamsburg,20200216,1,1,1,0.00%,7,00:03:16,0
Willow Park,20210208,1,1,1,0.00%,3,00:00:37,0
Withamsville,20200629,1,1,1,0.00%,2,00:08:46,0
Woodbourne,20200106,1,1,2,0.00%,7,00:04:29,0
Woodbourne,20200107,1,0,2,50.00%,10,00:02:22,0
Woodbourne,20200113,1,0,1,0.00%,14,00:31:33,0
Woodbourne,20200114,1,0,1,0.00%,8,00:21:55,1
Woodbourne,20200130,1,0,1,0.00%,4,00:01:13,0
Woodbury,20200124,1,1,1,0.00%,8,00:02:32,0
Woodbury,20200209,1,1,1,0.00%,11,00:11:23,2
Woodbury,20200213,1,1,1,100.00%,1,00:00:00,0
Woodmoor,20200216,1,1,2,0.00%,8,00:08:44,0
Wyoming,20200528,1,1,1,0.00%,2,00:00:21,0
Wyoming,20200622,1,1,1,0.00%,2,00:00:05,0
Wyoming,20200114,1,1,1,0.00%,3,00:00:33,0
Youngsville,20201203,1,1,1,100.00%,1,00:00:00,0
Kilis,20200504,1,1,1,100.00%,1,00:00:00,0
Caloocan,20200422,1,1,1,100.00%,1,00:00:00,0
Bahawalpur,20200213,1,1,1,0.00%,5,00:10:08,0
Bahawalpur,20210126,1,1,1,100.00%,1,00:00:00,0
Bahawalpur,20210222,1,0,1,100.00%,1,00:00:00,0
Rahim Yar Khan,20210113,1,1,1,100.00%,1,00:00:00,0
Jurmala,20210114,1,1,1,100.00%,1,00:00:00,0
Tamuning,20201023,1,1,1,0.00%,2,00:00:20,0
Luxembourg,20210211,1,1,1,100.00%,1,00:00:00,0
Schellerten,20200809,1,1,1,100.00%,1,00:00:00,0
Curridabat,20200202,1,1,1,0.00%,5,00:09:03,0
Curridabat,20200203,1,0,1,100.00%,1,00:00:00,0
Oslo Municipality,20200202,1,1,1,100.00%,1,00:00:00,0
Sainte-Marie,20210116,1,1,1,100.00%,1,00:00:00,0
Cambridge,20200129,1,1,1,100.00%,1,00:00:00,0
Mount Hood Village,20200903,1,1,1,100.00%,1,00:00:00,0
Ramona,20200614,1,1,1,0.00%,3,00:02:03,0
Ramona,20210224,1,1,1,100.00%,1,00:00:00,0
Ramona,20210306,1,1,1,100.00%,1,00:00:00,0
Tijuana,20200716,1,1,1,0.00%,5,00:02:30,0
Juriquilla,20200905,1,1,1,0.00%,2,00:00:33,0
Tonala,20210209,1,1,1,0.00%,2,00:00:05,0
Pindamonhangaba,20200520,1,1,1,0.00%,3,00:01:36,0
Delhi,20200131,1,1,1,0.00%,2,00:01:08,0
Delhi,20200820,1,1,1,0.00%,2,00:02:03,0
Delhi,20210302,1,1,1,0.00%,2,00:03:27,0
(not set),20200902,1,1,1,0.00%,5,00:03:16,0
(not set),20201116,1,1,1,0.00%,11,00:05:18,0
(not set),20200308,1,1,1,100.00%,1,00:00:00,0
(not set),20210307,1,1,1,100.00%,1,00:00:00,0
(not set),20200611,1,1,1,0.00%,5,00:01:02,0
(not set),20200710,1,1,1,0.00%,3,00:04:40,0
(not set),20200829,1,1,1,0.00%,6,00:01:13,0
(not set),20200617,1,1,1,100.00%,1,00:00:00,0
(not set),20210113,1,1,1,0.00%,20,00:09:16,1
(not set),20210117,1,1,1,0.00%,2,00:00:10,0
(not set),20200703,1,0,1,0.00%,2,00:00:52,0
(not set),20200706,1,0,1,0.00%,3,00:00:48,0
(not set),20200221,1,1,2,0.00%,7,00:29:17,0
(not set),20200225,1,0,1,0.00%,14,00:03:44,0
(not set),20200721,1,1,1,0.00%,3,00:00:56,0
(not set),20200910,1,1,1,100.00%,1,00:00:00,0
(not set),20210121,1,1,2,50.00%,1.5,00:00:06,0
(not set),20200222,1,1,1,0.00%,3,00:00:31,0
(not set),20200223,1,0,1,0.00%,7,00:01:19,0
(not set),20200224,1,1,1,0.00%,2,00:00:14,0
(not set),20200225,1,0,1,0.00%,2,00:00:10,0
(not set),20200902,1,1,1,0.00%,2,00:00:05,0
(not set),20201020,1,1,1,0.00%,2,00:00:14,0
(not set),20201021,1,0,2,100.00%,1,00:00:00,0
(not set),20201022,1,0,1,100.00%,1,00:00:00,0
(not set),20201023,1,0,1,100.00%,1,00:00:00,0
(not set),20201129,1,1,1,0.00%,2,00:02:17,0
(not set),20201223,1,1,1,0.00%,5,00:00:39,0
(not set),20201226,1,1,1,0.00%,22,00:11:34,1
(not set),20210307,1,1,1,0.00%,5,00:17:13,0
(not set),20210310,1,1,1,0.00%,12,00:01:39,0
(not set),20201020,1,1,1,100.00%,1,00:00:00,0
(not set),20200427,1,1,1,0.00%,6,00:03:07,0
(not set),20200305,1,0,1,100.00%,1,00:00:00,0
(not set),20200806,1,1,1,0.00%,3,00:06:23,0
(not set),20200822,1,1,1,100.00%,1,00:00:00,0
(not set),20200906,1,1,1,0.00%,2,00:00:03,0
(not set),20200913,1,1,1,0.00%,3,00:00:21,0
(not set),20200929,1,1,1,0.00%,5,00:01:32,0
(not set),20201228,1,1,2,100.00%,1,00:00:00,0
(not set),20201229,1,1,1,0.00%,2,00:00:07,0
(not set),20210108,1,1,1,0.00%,2,00:00:06,0
(not set),20210116,1,1,1,0.00%,2,00:00:14,0
(not set),20210205,1,1,1,100.00%,1,00:00:00,0
(not set),20210210,1,0,1,0.00%,4,00:00:31,0
(not set),20210211,1,0,1,100.00%,1,00:00:00,0
(not set),20210212,1,1,1,100.00%,1,00:00:00,0
(not set),20210219,1,1,1,100.00%,1,00:00:00,0
(not set),20210227,1,1,1,0.00%,3,00:00:18,0
(not set),20210310,1,1,1,0.00%,4,00:00:59,0
(not set),20210317,1,1,1,0.00%,2,00:00:05,0
(not set),20201116,1,1,1,100.00%,1,00:00:00,0
(not set),20201119,1,1,1,0.00%,4,00:00:42,0
(not set),20200216,1,1,1,0.00%,5,00:03:37,0
(not set),20210225,1,0,1,100.00%,1,00:00:00,0
(not set),20210129,1,1,1,0.00%,10,00:10:50,1
(not set),20201226,1,1,2,0.00%,2,00:00:05,0
(not set),20210320,1,1,1,0.00%,15,00:10:42,0
(not set),20201222,1,1,1,100.00%,1,00:00:00,0
(not set),20200709,1,1,1,0.00%,3,00:00:15,0
(not set),20200623,1,1,1,0.00%,4,00:00:32,0
(not set),20200912,1,1,1,0.00%,8,00:02:23,0
(not set),20200926,1,1,1,100.00%,1,00:00:00,0
(not set),20210110,1,1,1,0.00%,2,00:00:14,0
(not set),20210213,1,1,1,100.00%,1,00:00:00,0
(not set),20210114,1,1,1,100.00%,1,00:00:00,0
(not set),20200205,1,1,1,0.00%,2,00:00:03,0
(not set),20200614,1,1,1,0.00%,15,00:02:07,0
(not set),20200725,1,1,1,0.00%,2,00:02:40,0
(not set),20210109,1,1,1,0.00%,2,00:00:39,0
(not set),20200310,1,1,1,0.00%,9,00:07:04,0
(not set),20210117,1,1,1,100.00%,1,00:00:00,0
(not set),20200315,1,1,1,0.00%,3,00:01:05,0
(not set),20200328,1,1,1,100.00%,1,00:00:00,0
(not set),20201021,1,1,1,0.00%,4,00:00:21,0
(not set),20210319,1,0,1,100.00%,1,00:00:00,0
(not set),20200710,1,1,1,0.00%,3,00:00:37,0
(not set),20200707,1,1,1,100.00%,1,00:00:00,0
(not set),20200814,1,1,1,0.00%,2,00:00:13,0
(not set),20200219,1,1,1,0.00%,8,00:09:31,1
(not set),20210203,1,0,1,100.00%,1,00:00:00,0
(not set),20210206,1,0,1,100.00%,1,00:00:00,0
(not set),20200926,1,1,1,100.00%,1,00:00:00,0
(not set),20201012,1,1,1,100.00%,1,00:00:00,0
(not set),20200801,1,1,1,0.00%,3,00:03:32,0
(not set),20200719,1,1,1,100.00%,1,00:00:00,0
(not set),20200815,1,1,1,0.00%,2,00:00:08,0
(not set),20201213,1,0,1,100.00%,1,00:00:00,0
(not set),20210222,1,1,1,0.00%,2,00:00:12,0
(not set),20210310,1,1,1,0.00%,2,00:04:03,0
(not set),20210313,1,1,1,0.00%,6,00:01:12,0
(not set),20210212,1,1,2,50.00%,1.5,00:02:08,0
(not set),20200715,1,1,2,0.00%,5,00:01:24,0
(not set),20200207,1,1,1,0.00%,2,00:00:08,0
(not set),20200209,1,1,1,0.00%,2,00:00:08,0
(not set),20200308,1,1,1,100.00%,1,00:00:00,0
(not set),20200403,1,1,2,0.00%,3,00:00:25,0
(not set),20200525,1,1,1,0.00%,24,00:07:02,0
(not set),20200531,1,0,1,100.00%,1,00:00:00,0
(not set),20200604,1,1,2,50.00%,1.5,00:00:07,0
(not set),20200613,1,1,1,0.00%,5,00:09:50,0
(not set),20200617,1,0,2,0.00%,3.5,00:01:15,0
(not set),20200716,1,1,1,100.00%,1,00:00:00,0
(not set),20200818,1,1,1,0.00%,3,00:00:21,0
(not set),20200930,1,1,1,0.00%,4,00:00:29,0
(not set),20201002,1,0,1,100.00%,1,00:00:00,0
(not set),20201004,1,1,3,33.33%,2.33,00:00:21,0
(not set),20201111,1,1,1,100.00%,1,00:00:00,0
(not set),20201221,1,1,1,0.00%,2,00:00:05,0
(not set),20210306,1,0,1,0.00%,2,00:00:15,0
(not set),20210119,1,1,1,0.00%,2,00:02:48,0
(not set),20210120,1,0,1,100.00%,1,00:00:00,0
(not set),20200725,1,1,1,0.00%,7,00:04:12,0
(not set),20200206,1,1,1,100.00%,1,00:00:00,0
(not set),20200213,1,1,1,0.00%,4,00:01:07,0
(not set),20200214,1,1,1,100.00%,1,00:00:00,0
(not set),20200216,1,0,1,0.00%,4,00:02:01,0
(not set),20200217,1,1,1,0.00%,5,00:01:48,0
(not set),20200218,1,0,2,0.00%,3,00:02:58,0
(not set),20200221,1,1,1,0.00%,23,00:22:53,0
(not set),20200224,1,1,1,0.00%,6,00:16:59,0
(not set),20200225,1,1,1,0.00%,5,00:01:32,0
(not set),20200228,1,1,1,0.00%,11,00:10:13,1
(not set),20200306,1,1,1,100.00%,1,00:00:00,0
(not set),20200309,1,0,1,100.00%,1,00:00:00,0
(not set),20200314,1,1,1,0.00%,2,00:00:07,0
(not set),20200429,1,1,1,0.00%,2,00:00:12,0
(not set),20200430,1,1,1,100.00%,1,00:00:00,0
(not set),20200504,1,1,1,0.00%,3,00:01:27,0
(not set),20200527,1,1,1,0.00%,12,00:24:37,0
(not set),20200606,1,1,3,0.00%,7.67,00:02:33,1
(not set),20200607,1,1,1,0.00%,2,00:00:20,0
(not set),20200615,1,1,1,0.00%,3,00:00:55,0
(not set),20200619,1,1,1,0.00%,2,00:00:38,0
(not set),20200628,1,1,1,0.00%,2,00:00:32,0
(not set),20200704,1,1,1,0.00%,3,00:00:36,0
(not set),20200716,1,1,1,0.00%,2,00:00:13,0
(not set),20200717,1,1,1,0.00%,4,00:00:20,0
(not set),20200718,1,1,1,0.00%,3,00:00:37,0
(not set),20200725,1,1,1,0.00%,3,00:00:20,0
(not set),20200731,1,1,1,0.00%,10,00:07:29,0
(not set),20200827,1,1,1,0.00%,2,00:00:08,0
(not set),20200907,1,0,1,100.00%,1,00:00:00,0
(not set),20200912,1,1,1,0.00%,2,00:00:08,0
(not set),20200919,1,1,1,100.00%,1,00:00:00,0
(not set),20200930,1,1,1,0.00%,3,00:00:14,0
(not set),20201008,1,1,1,0.00%,3,00:01:43,0
(not set),20201010,1,0,1,100.00%,1,00:00:00,0
(not set),20201017,1,1,1,0.00%,2,00:00:23,0
(not set),20201110,1,1,1,0.00%,4,00:01:57,0
(not set),20201130,1,1,1,0.00%,2,00:00:32,0
(not set),20201203,1,1,1,100.00%,1,00:00:00,0
(not set),20201207,1,0,2,50.00%,3,00:00:39,0
(not set),20201214,1,1,1,0.00%,10,00:06:39,0
(not set),20201222,1,1,1,0.00%,3,00:00:34,0
(not set),20201223,1,1,1,0.00%,3,00:00:14,0
(not set),20201227,1,1,1,0.00%,7,00:02:01,0
(not set),20201228,1,1,1,0.00%,2,00:00:43,0
(not set),20201229,1,0,1,100.00%,1,00:00:00,0
(not set),20201230,1,1,1,0.00%,2,00:00:12,0
(not set),20210103,1,1,1,0.00%,4,00:02:55,0
(not set),20210108,1,1,1,0.00%,2,00:00:35,0
(not set),20210110,1,1,1,100.00%,1,00:00:00,0
(not set),20210111,1,1,1,0.00%,4,00:00:45,0
(not set),20210114,1,1,2,0.00%,2.5,00:00:29,0
(not set),20210121,1,1,1,0.00%,13,00:03:30,0
(not set),20210123,1,1,1,0.00%,2,00:00:09,0
(not set),20210127,1,1,1,0.00%,2,00:00:17,0
(not set),20210202,1,1,2,50.00%,2,00:00:06,0
(not set),20210203,1,1,1,100.00%,1,00:00:00,0
(not set),20210204,1,1,1,0.00%,5,00:00:44,0
(not set),20210208,1,1,1,0.00%,2,00:00:12,0
(not set),20210210,1,1,1,0.00%,5,00:01:14,0
(not set),20210216,1,1,1,0.00%,3,00:00:37,0
(not set),20210220,1,1,1,0.00%,6,00:01:59,0
(not set),20210223,1,1,2,100.00%,1,00:00:00,0
(not set),20210224,1,1,1,0.00%,5,00:01:07,0
(not set),20210225,1,0,1,100.00%,1,00:00:00,0
(not set),20210226,1,1,1,0.00%,22,00:19:01,1
(not set),20210301,1,1,1,0.00%,4,00:00:43,0
(not set),20210302,1,1,1,0.00%,7,00:01:56,0
(not set),20210304,1,1,1,0.00%,7,00:00:43,0
(not set),20210306,1,1,1,0.00%,6,00:05:59,1
(not set),20210310,1,1,1,0.00%,3,00:01:02,0
(not set),20210312,1,1,1,100.00%,1,00:00:00,0
(not set),20210314,1,1,1,0.00%,16,00:06:43,0
(not set),20210315,1,1,1,0.00%,2,00:00:09,0
(not set),20210320,1,1,1,100.00%,1,00:00:00,0
(not set),20201207,1,1,1,0.00%,2,00:00:08,0
(not set),20210311,1,1,1,100.00%,1,00:00:00,0
(not set),20200727,1,1,1,0.00%,8,00:25:24,0
(not set),20201006,1,1,1,0.00%,2,00:00:25,0
(not set),20201022,1,1,1,0.00%,6,00:02:52,1
(not set),20201214,1,1,1,0.00%,6,00:01:49,0
(not set),20210225,1,1,1,0.00%,2,00:00:26,0
(not set),20200612,1,1,1,100.00%,1,00:00:00,0
(not set),20210108,1,1,1,0.00%,2,00:00:09,0
(not set),20200222,1,1,1,0.00%,2,00:00:06,0
(not set),20200918,1,0,1,100.00%,1,00:00:00,0
(not set),20210318,1,1,1,100.00%,1,00:00:00,0
(not set),20200705,1,1,1,0.00%,3,00:02:37,0
(not set),20200302,1,1,1,0.00%,4,00:03:08,0
(not set),20200305,1,0,1,0.00%,5,00:00:05,0
(not set),20210305,1,1,1,0.00%,13,00:08:26,2
(not set),20200804,1,1,1,0.00%,7,00:03:16,0
(not set),20200927,1,1,1,0.00%,2,00:00:18,0
(not set),20200726,1,1,1,0.00%,4,00:13:30,0
(not set),20201009,1,1,1,0.00%,2,00:00:09,0
(not set),20201221,1,1,1,0.00%,2,00:00:09,0
(not set),20210220,1,1,1,100.00%,1,00:00:00,0
(not set),20210208,1,1,1,0.00%,2,00:00:09,0
(not set),20200405,1,1,1,100.00%,1,00:00:00,0
(not set),20200613,1,1,1,0.00%,7,00:02:06,0
(not set),20200717,1,1,1,100.00%,1,00:00:00,0
(not set),20200910,1,1,1,100.00%,1,00:00:00,0
(not set),20200709,1,1,1,100.00%,1,00:00:00,0
(not set),20200212,1,1,1,0.00%,7,00:01:11,0
(not set),20200217,1,0,1,0.00%,16,00:10:50,1
(not set),20200302,1,1,1,100.00%,1,00:00:00,0
(not set),20210309,1,1,2,0.00%,3,00:00:28,0
(not set),20210310,1,0,1,0.00%,2,00:00:01,0
(not set),20210311,1,0,1,100.00%,1,00:00:00,0
(not set),20210312,1,0,1,100.00%,1,00:00:00,0
(not set),20210211,1,1,1,0.00%,2,00:05:19,0
Kattankulathur,20210311,1,1,1,100.00%,1,00:00:00,0
